asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank,product_photo
B0BBSQBXL4,"GasOne Premium Wood Burning Rocket Stove Camping for Backpacking, Hiking, RV and Survival - Insulated Barrel Stove Kit with Silicone Handles – Military Green",69.99,99.99,4.6,266,FALSE,FALSE,100+ bought in past month,30,GasOne,https://www.amazon.com/dp/B0BBSQBXL4,2025-09-15,38,N/A,Camping Stoves,165,
B0CWVYBYBQ,"Rocket Stove Heavy Duty Portable Camp Stove for Outdoor Cooking, Versa Dual-Fuel (Wood & Charcoal)",159.95,,4.5,50,FALSE,FALSE,50+ bought in past month,,EcoZoom,https://www.amazon.com/dp/B0CWVYBYBQ,2025-09-15,38,N/A,Camping Stoves,334,
B09F62BNM2,"Lineslife Camping Rocket Stove Wood Burning Portable for Cooking, Outdoor Camping Wood Stove with Carrying Bag for Backpacking Emergency RV Survival, Versatility of Fuel, Black Two Doors 12.6""",105.99,,4.5,204,TRUE,FALSE,,,Lineslife,https://www.amazon.com/dp/B09F62BNM2,2025-09-15,38,N/A,Camping Stoves,428,
B0BQ33C4D1,"Onlyfire Camping Rocket Stove Outdoor Portable Wood Burning Camp Stove with High Fuel Efficiency, Real Campfire Stove for Outside Bonfire, Patio & Backyard Cooking, 12.7 x 12.7 x 11.4 Inch",84.99,,4.4,147,TRUE,FALSE,,,onlyfire,https://www.amazon.com/dp/B0BQ33C4D1,2025-09-15,38,N/A,Camping Stoves,456,
B09SW522G4,"ONLYFIRE OUTDOOR LIVING 3-in-1 Camp Rocket Stove with 14.5"" Cooking Grate, 18"" Griddle and Cooktop, Portable Wood Burning Camping Stove for Patio Backyard RV Tailgating Trailer Tents Hiking, GS302",132.99,,4.5,125,TRUE,FALSE,,,ONLYFIRE GRILLS,https://www.amazon.com/dp/B09SW522G4,2025-09-15,38,N/A,Camping Stoves,791,
B085Y6PHLM,"Camping Rocket Stove by StarBlue with FREE Carrying Bag - A Portable Wood Burning Camping Stove with Large Chamber Best for Outdoor Cooking, Camping, Picnic, BBQ, Hunting, Fishing",60,,4.6,732,FALSE,FALSE,,,StarBlue,https://www.amazon.com/dp/B085Y6PHLM,2025-09-15,38,N/A,Camping Stoves,389,
B0CYGMGD1W,"Rocket Stove Wood Burning Camp Stove Rocket Stove for Cooking Portable Wood Mini Burning Stove, Fire Camping Stove for Cooking backyard cooking Camping grill outdoor events BBQ Comes with storage bag",39.9,,4.6,87,TRUE,FALSE,,,Docybuty,https://www.amazon.com/dp/B0CYGMGD1W,2025-09-15,38,N/A,Camping Stoves,362,
B08QW3N4FZ,"ROCKET STOVE is the perfect wood stove. A portable wood-burning camping stove with a fire poker. For camping gear & survival gear, backyard cooking. Camping grill, outdoor events. (Elite)",69.99,,4.4,527,TRUE,FALSE,,,TAFEIDA,https://www.amazon.com/dp/B08QW3N4FZ,2025-09-15,38,$0.70,Camping Stoves,476,
B0B87YDK8G,"Rocket Stove Portable Folding Wood Burning Camping Stove for Outdoor Cooking, Picnic, BBQ, Hunting, Fishing, Cast Steel Pocket Rocket Stove with Carrying Bag",69.99,95.99,4.5,59,FALSE,FALSE,,27.09,BiggerFire,https://www.amazon.com/dp/B0B87YDK8G,2025-09-15,38,N/A,Camping Stoves,386,
B0BBSQBXL4,"GasOne Premium Wood Burning Rocket Stove Camping for Backpacking, Hiking, RV and Survival - Insulated Barrel Stove Kit with Silicone Handles – Military Green",69.99,99.99,4.6,266,FALSE,FALSE,100+ bought in past month,30,GasOne,https://www.amazon.com/dp/B0BBSQBXL4,2025-09-18,38,N/A,Camping Stoves,114,
B0CWVYBYBQ,"Rocket Stove Heavy Duty Portable Camp Stove for Outdoor Cooking, Versa Dual-Fuel (Wood & Charcoal)",159.95,,4.5,50,FALSE,FALSE,50+ bought in past month,,EcoZoom,https://www.amazon.com/dp/B0CWVYBYBQ,2025-09-18,38,N/A,Camping Stoves,321,
B09F62BNM2,"Lineslife Camping Rocket Stove Wood Burning Portable for Cooking, Outdoor Camping Wood Stove with Carrying Bag for Backpacking Emergency RV Survival, Versatility of Fuel, Black Two Doors 12.6""",65.99,89.99,4.5,204,TRUE,FALSE,,26.67,Lineslife,https://www.amazon.com/dp/B09F62BNM2,2025-09-18,38,N/A,Camping Stoves,558,
B0BQ33C4D1,"Onlyfire Camping Rocket Stove Outdoor Portable Wood Burning Camp Stove with High Fuel Efficiency, Real Campfire Stove for Outside Bonfire, Patio & Backyard Cooking, 12.7 x 12.7 x 11.4 Inch",84.99,,4.4,147,FALSE,FALSE,,,onlyfire,https://www.amazon.com/dp/B0BQ33C4D1,2025-09-18,38,N/A,Camping Stoves,562,
B09SW522G4,"ONLYFIRE OUTDOOR LIVING 3-in-1 Camp Rocket Stove with 14.5"" Cooking Grate, 18"" Griddle and Cooktop, Portable Wood Burning Camping Stove for Patio Backyard RV Tailgating Trailer Tents Hiking, GS302",132.99,,4.5,125,TRUE,FALSE,,,ONLYFIRE GRILLS,https://www.amazon.com/dp/B09SW522G4,2025-09-18,38,N/A,Camping Stoves,554,
B085Y6PHLM,"Camping Rocket Stove by StarBlue with FREE Carrying Bag - A Portable Wood Burning Camping Stove with Large Chamber Best for Outdoor Cooking, Camping, Picnic, BBQ, Hunting, Fishing",60,,4.6,732,FALSE,FALSE,,,StarBlue,https://www.amazon.com/dp/B085Y6PHLM,2025-09-18,38,$8.57,Camping Stoves,302,
B0CYGMGD1W,"Rocket Stove Wood Burning Camp Stove Rocket Stove for Cooking Portable Wood Mini Burning Stove, Fire Camping Stove for Cooking backyard cooking Camping grill outdoor events BBQ Comes with storage bag",39.9,,4.6,87,TRUE,FALSE,,,Docybuty,https://www.amazon.com/dp/B0CYGMGD1W,2025-09-18,38,N/A,Camping Stoves,293,
B08QW3N4FZ,"ROCKET STOVE is the perfect wood stove. A portable wood-burning camping stove with a fire poker. For camping gear & survival gear, backyard cooking. Camping grill, outdoor events. (Elite)",69.99,,4.4,527,TRUE,FALSE,,,TAFEIDA,https://www.amazon.com/dp/B08QW3N4FZ,2025-09-18,38,$0.70,Camping Stoves,444,
B0B87YDK8G,"Rocket Stove Portable Folding Wood Burning Camping Stove for Outdoor Cooking, Picnic, BBQ, Hunting, Fishing, Cast Steel Pocket Rocket Stove with Carrying Bag",69.99,95.99,4.5,60,FALSE,FALSE,,27.09,BiggerFire,https://www.amazon.com/dp/B0B87YDK8G,2025-09-18,38,N/A,Camping Stoves,412,
B0BBSQBXL4,"GasOne Premium Wood Burning Rocket Stove Camping for Backpacking, Hiking, RV and Survival - Insulated Barrel Stove Kit with Silicone Handles – Military Green",69.99,99.99,4.6,266,FALSE,FALSE,100+ bought in past month,30,GasOne,https://www.amazon.com/dp/B0BBSQBXL4,2025-09-19,38,N/A,Camping Stoves,142,
B0CWVYBYBQ,"Rocket Stove Heavy Duty Portable Camp Stove for Outdoor Cooking, Versa Dual-Fuel (Wood & Charcoal)",159.95,,4.5,50,FALSE,FALSE,50+ bought in past month,,EcoZoom,https://www.amazon.com/dp/B0CWVYBYBQ,2025-09-19,38,N/A,Camping Stoves,273,
B09F62BNM2,"Lineslife Camping Rocket Stove Wood Burning Portable for Cooking, Outdoor Camping Wood Stove with Carrying Bag for Backpacking Emergency RV Survival, Versatility of Fuel, Black Two Doors 12.6""",65.99,89.99,4.5,204,TRUE,FALSE,,26.67,Lineslife,https://www.amazon.com/dp/B09F62BNM2,2025-09-19,38,N/A,Camping Stoves,440,
B0BQ33C4D1,"Onlyfire Camping Rocket Stove Outdoor Portable Wood Burning Camp Stove with High Fuel Efficiency, Real Campfire Stove for Outside Bonfire, Patio & Backyard Cooking, 12.7 x 12.7 x 11.4 Inch",84.99,,4.4,147,FALSE,FALSE,,,onlyfire,https://www.amazon.com/dp/B0BQ33C4D1,2025-09-19,38,N/A,Camping Stoves,641,
B09SW522G4,"ONLYFIRE OUTDOOR LIVING 3-in-1 Camp Rocket Stove with 14.5"" Cooking Grate, 18"" Griddle and Cooktop, Portable Wood Burning Camping Stove for Patio Backyard RV Tailgating Trailer Tents Hiking, GS302",132.99,,4.5,125,TRUE,FALSE,,,ONLYFIRE GRILLS,https://www.amazon.com/dp/B09SW522G4,2025-09-19,38,N/A,Camping Stoves,377,
B085Y6PHLM,"Camping Rocket Stove by StarBlue with FREE Carrying Bag - A Portable Wood Burning Camping Stove with Large Chamber Best for Outdoor Cooking, Camping, Picnic, BBQ, Hunting, Fishing",60,,4.6,732,FALSE,FALSE,,,StarBlue,https://www.amazon.com/dp/B085Y6PHLM,2025-09-19,38,N/A,Camping Stoves,329,
B0CYGMGD1W,"Rocket Stove Wood Burning Camp Stove Rocket Stove for Cooking Portable Wood Mini Burning Stove, Fire Camping Stove for Cooking backyard cooking Camping grill outdoor events BBQ Comes with storage bag",39.9,,4.6,87,TRUE,FALSE,,,Docybuty,https://www.amazon.com/dp/B0CYGMGD1W,2025-09-19,38,N/A,Camping Stoves,322,
B08QW3N4FZ,"ROCKET STOVE is the perfect wood stove. A portable wood-burning camping stove with a fire poker. For camping gear & survival gear, backyard cooking. Camping grill, outdoor events. (Elite)",69.99,,4.4,527,TRUE,FALSE,,,TAFEIDA,https://www.amazon.com/dp/B08QW3N4FZ,2025-09-19,38,$0.70,Camping Stoves,406,
B0B87YDK8G,"Rocket Stove Portable Folding Wood Burning Camping Stove for Outdoor Cooking, Picnic, BBQ, Hunting, Fishing, Cast Steel Pocket Rocket Stove with Carrying Bag",69.99,95.99,4.5,60,FALSE,FALSE,,27.09,BiggerFire,https://www.amazon.com/dp/B0B87YDK8G,2025-09-19,38,N/A,Camping Stoves,394,
B0BBSQBXL4,"GasOne Premium Wood Burning Rocket Stove Camping for Backpacking, Hiking, RV and Survival - Insulated Barrel Stove Kit with Silicone Handles – Military Green",69.99,99.99,4.6,267,FALSE,FALSE,100+ bought in past month,30,GasOne,https://www.amazon.com/dp/B0BBSQBXL4,2025-09-22,39,N/A,Camping Stoves,120,
B0CWVYBYBQ,"Rocket Stove Heavy Duty Portable Camp Stove for Outdoor Cooking, Versa Dual-Fuel (Wood & Charcoal)",159.95,,4.5,51,FALSE,FALSE,50+ bought in past month,,EcoZoom,https://www.amazon.com/dp/B0CWVYBYBQ,2025-09-22,39,N/A,Camping Stoves,271,
B09F62BNM2,"Lineslife Camping Rocket Stove Wood Burning Portable for Cooking, Outdoor Camping Wood Stove with Carrying Bag for Backpacking Emergency RV Survival, Versatility of Fuel, Black Two Doors 12.6""",68.99,89.99,4.5,204,TRUE,FALSE,,23.34,Lineslife,https://www.amazon.com/dp/B09F62BNM2,2025-09-22,39,N/A,Camping Stoves,273,
B0BQ33C4D1,"Onlyfire Camping Rocket Stove Outdoor Portable Wood Burning Camp Stove with High Fuel Efficiency, Real Campfire Stove for Outside Bonfire, Patio & Backyard Cooking, 12.7 x 12.7 x 11.4 Inch",84.99,,4.4,148,FALSE,FALSE,,,onlyfire,https://www.amazon.com/dp/B0BQ33C4D1,2025-09-22,39,N/A,Camping Stoves,661,
B09SW522G4,"ONLYFIRE OUTDOOR LIVING 3-in-1 Camp Rocket Stove with 14.5"" Cooking Grate, 18"" Griddle and Cooktop, Portable Wood Burning Camping Stove for Patio Backyard RV Tailgating Trailer Tents Hiking, GS302",132.99,,4.5,126,FALSE,FALSE,,,ONLYFIRE GRILLS,https://www.amazon.com/dp/B09SW522G4,2025-09-22,39,N/A,Camping Stoves,314,
