asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank
B07V3946XL,"Keurig 3-Month Brewer Maintenance Kit Includes Descaling Solution, Water Filter Cartridges & Rinse Pods, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers, 7 Count",14.98,21.99,4.5,35190,False,False,10K+ bought in past month,31.88,Keurig,https://www.amazon.com/dp/B07V3946XL,2025-09-15,38,N/A,Coffee & Espresso Machine Cleaning Products,3
B074CK3QSH,"Quick & Clean [6-Pack] Keurig Cleaning Pods - K Cup Cleaner Pod For Keurig - 2.0 Coffee Machine Compatible, Removes Stains, Non-Toxic and Eco-Friendly",9.99,9.99,4.5,60548,True,False,10K+ bought in past month,,Quick &amp; Clean,https://www.amazon.com/dp/B074CK3QSH,2025-09-15,38,$1.67,Coffee & Espresso Machine Cleaning Products,4
B004JV8ZUS,"Keurig Water Filter Refill Cartridges, Replacement Water Filter Cartridges, Compatible with 2.0 K-Cup Pod Coffee Makers, 6 Count",14.44,16.99,4.8,15515,True,False,4K+ bought in past month,15.01,Keurig,https://www.amazon.com/dp/B004JV8ZUS,2025-09-15,38,$2.41,Disposable Coffee Filters,29
B06X16S1HZ,"Affresh Coffee Maker Cleaner, Works with Multi-cup and Single-serve Brewers, 3 Tablets",8.78,8.78,4.5,16136,False,False,6K+ bought in past month,,Affresh,https://www.amazon.com/dp/B06X16S1HZ,2025-09-15,38,$2.93,Coffee & Espresso Machine Cleaning Products,12
B07TSQWS3F,"Keurig Brewer Cleanse Kit For Maintenance Includes Descaling Solution & Rinse Pods, Compatible with Keurig Classic/1.0 & 2.0 K-Cup Pod Coffee Makers, 4 Count",14.99,16.99,4.4,9388,False,False,4K+ bought in past month,11.77,Keurig,https://www.amazon.com/dp/B07TSQWS3F,2025-09-15,38,$1.07,Coffee & Espresso Machine Cleaning Products,13
B07JMK6G59,Keurig Compatible Descaling Solution and Keurig Cleaner Pods. Removes Limescale & Cleans Pod Area. Better Tasting & Hotter Coffee. 4 Uses of Descaler & Cleaner.,14.99,14.99,4.2,9018,True,False,500+ bought in past month,,Caffenu,https://www.amazon.com/dp/B07JMK6G59,2025-09-15,38,$2.22,Coffee & Espresso Machine Cleaning Products,51
B06XH8BLS8,"Keurig Pods Reduces Flavor Carry Over, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers",6.98,8.79,4.7,4100,True,False,2K+ bought in past month,20.59,,https://www.amazon.com/dp/B06XH8BLS8,2025-09-15,38,$0.70,Coffee & Espresso Machine Cleaning Products,28
B09LVYZZKS,"Quick & Clean 4-Pack of Cleaning Cups with Descaler Bundle (2 Total Uses) - 2.0 Compatible, Descaling Solution for Keurig, Nespresso, Ninja, Delonghi, All Coffee and Espresso Machines",14.99,14.99,4.4,1787,False,False,1K+ bought in past month,,Quick &amp; Clean,https://www.amazon.com/dp/B09LVYZZKS,2025-09-15,38,$1.87,Coffee & Espresso Machine Cleaning Products,42
B08M4GYGSQ,"Keurig Compatible Cleaning Pods. 8 Rinse Pods Cleaner Kit. Eco Friendly, Removes Stale Coffee Residue & Stains. Keurig 1.0 & 2.0 Coffee Makers.",9.99,9.99,4.5,7601,True,False,1K+ bought in past month,,Caffenu,https://www.amazon.com/dp/B08M4GYGSQ,2025-09-15,38,$8.92,Coffee & Espresso Machine Cleaning Products,53
B07FZXDKXF,"Essential Values Compatible with Keurig Descaling Solution Rinse Pods 10-Pack - Descaler for Coffee Machines, Pot Kit - Coffee Maker Cleaner Filter Pods",9.99,9.99,4.3,1892,True,False,200+ bought in past month,,Essential Values,https://www.amazon.com/dp/B07FZXDKXF,2025-09-15,38,$1.00,Coffee & Espresso Machine Cleaning Products,128
B07V3946XL,"Keurig 3-Month Brewer Maintenance Kit Includes Descaling Solution, Water Filter Cartridges & Rinse Pods, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers, 7 Count",14.98,21.99,4.5,35211,False,False,10K+ bought in past month,31.88,Keurig,https://www.amazon.com/dp/B07V3946XL,2025-09-18,38,N/A,Coffee & Espresso Machine Cleaning Products,3
B074CK3QSH,"Quick & Clean [6-Pack] Keurig Cleaning Pods - K Cup Cleaner Pod For Keurig - 2.0 Coffee Machine Compatible, Removes Stains, Non-Toxic and Eco-Friendly",9.99,9.99,4.5,60573,True,False,10K+ bought in past month,,Quick &amp; Clean,https://www.amazon.com/dp/B074CK3QSH,2025-09-18,38,$1.67,Coffee & Espresso Machine Cleaning Products,4
B004JV8ZUS,"Keurig Water Filter Refill Cartridges, Replacement Water Filter Cartridges, Compatible with 2.0 K-Cup Pod Coffee Makers, 6 Count",14.44,16.99,4.8,15521,True,False,4K+ bought in past month,15.01,Keurig,https://www.amazon.com/dp/B004JV8ZUS,2025-09-18,38,$2.41,Disposable Coffee Filters,20
B06X16S1HZ,"Affresh Coffee Maker Cleaner, Works with Multi-cup and Single-serve Brewers, 3 Tablets",8.78,8.78,4.5,16144,False,False,6K+ bought in past month,,Affresh,https://www.amazon.com/dp/B06X16S1HZ,2025-09-18,38,$2.93,Coffee & Espresso Machine Cleaning Products,12
B07TSQWS3F,"Keurig Brewer Cleanse Kit For Maintenance Includes Descaling Solution & Rinse Pods, Compatible with Keurig Classic/1.0 & 2.0 K-Cup Pod Coffee Makers, 4 Count",14.99,16.99,4.4,9392,False,False,4K+ bought in past month,11.77,Keurig,https://www.amazon.com/dp/B07TSQWS3F,2025-09-18,38,$1.07,Coffee & Espresso Machine Cleaning Products,14
B07JMK6G59,Keurig Compatible Descaling Solution and Keurig Cleaner Pods. Removes Limescale & Cleans Pod Area. Better Tasting & Hotter Coffee. 4 Uses of Descaler & Cleaner.,14.99,14.99,4.2,9022,False,False,700+ bought in past month,,Caffenu,https://www.amazon.com/dp/B07JMK6G59,2025-09-18,38,$2.22,Coffee & Espresso Machine Cleaning Products,40
B06XH8BLS8,"Keurig Pods Reduces Flavor Carry Over, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers",6.98,8.79,4.7,4103,True,False,2K+ bought in past month,20.59,,https://www.amazon.com/dp/B06XH8BLS8,2025-09-18,38,$0.70,Coffee & Espresso Machine Cleaning Products,49
B09LVYZZKS,"Quick & Clean 4-Pack of Cleaning Cups with Descaler Bundle (2 Total Uses) - 2.0 Compatible, Descaling Solution for Keurig, Nespresso, Ninja, Delonghi, All Coffee and Espresso Machines",14.99,14.99,4.4,1790,False,False,1K+ bought in past month,,Quick &amp; Clean,https://www.amazon.com/dp/B09LVYZZKS,2025-09-18,38,$1.87,Coffee & Espresso Machine Cleaning Products,42
B08M4GYGSQ,"Keurig Compatible Cleaning Pods. 8 Rinse Pods Cleaner Kit. Eco Friendly, Removes Stale Coffee Residue & Stains. Keurig 1.0 & 2.0 Coffee Makers.",9.99,9.99,4.5,7607,True,False,1K+ bought in past month,,Caffenu,https://www.amazon.com/dp/B08M4GYGSQ,2025-09-18,38,$8.92,Coffee & Espresso Machine Cleaning Products,56
B07FZXDKXF,"Essential Values Compatible with Keurig Descaling Solution Rinse Pods 10-Pack - Descaler for Coffee Machines, Pot Kit - Coffee Maker Cleaner Filter Pods",9.99,9.99,4.3,1894,True,False,300+ bought in past month,,Essential Values,https://www.amazon.com/dp/B07FZXDKXF,2025-09-18,38,$1.00,Coffee & Espresso Machine Cleaning Products,75
B07V3946XL,"Keurig 3-Month Brewer Maintenance Kit Includes Descaling Solution, Water Filter Cartridges & Rinse Pods, Compatible Classic/1.0 & 2.0 K-Cup Coffee Makers, 7 Count",14.98,21.99,4.5,35211,False,False,10K+ bought in past month,31.88,Keurig,https://www.amazon.com/dp/B07V3946XL,2025-09-19,38,N/A,Coffee & Espresso Machine Cleaning Products,3
B074CK3QSH,"Quick & Clean [6-Pack] Keurig Cleaning Pods - K Cup Cleaner Pod For Keurig - 2.0 Coffee Machine Compatible, Removes Stains, Non-Toxic and Eco-Friendly",9.99,9.99,4.5,60576,True,False,10K+ bought in past month,,Quick &amp; Clean,https://www.amazon.com/dp/B074CK3QSH,2025-09-19,38,$1.67,Coffee & Espresso Machine Cleaning Products,4
B004JV8ZUS,"Keurig Water Filter Refill Cartridges, Replacement Water Filter Cartridges, Compatible with 2.0 K-Cup Pod Coffee Makers, 6 Count",14.44,16.99,4.8,15521,True,False,4K+ bought in past month,15.01,Keurig,https://www.amazon.com/dp/B004JV8ZUS,2025-09-19,38,$2.41,Disposable Coffee Filters,20
B06X16S1HZ,"Affresh Coffee Maker Cleaner, Works with Multi-cup and Single-serve Brewers, 3 Tablets",8.78,8.78,4.5,16144,False,False,5K+ bought in past month,,Affresh,https://www.amazon.com/dp/B06X16S1HZ,2025-09-19,38,$2.93,Coffee & Espresso Machine Cleaning Products,12
B07TSQWS3F,"Keurig Brewer Cleanse Kit For Maintenance Includes Descaling Solution & Rinse Pods, Compatible with Keurig Classic/1.0 & 2.0 K-Cup Pod Coffee Makers, 4 Count",14.99,16.99,4.4,9392,False,False,4K+ bought in past month,11.77,Keurig,https://www.amazon.com/dp/B07TSQWS3F,2025-09-19,38,$1.07,Coffee & Espresso Machine Cleaning Products,14
B07JMK6G59,Keurig Compatible Descaling Solution and Keurig Cleaner Pods. Removes Limescale & Cleans Pod Area. Better Tasting & Hotter Coffee. 4 Uses of Descaler & Cleaner.,14.99,14.99,4.2,9022,True,False,700+ bought in past month,,Caffenu,https://www.amazon.com/dp/B07JMK6G59,2025-09-19,38,$2.22,Coffee & Espresso Machine Cleaning Products,40
