category,date,week,rank,asin,product_title,product_price,product_star_rating,product_num_ratings,product_url,product_photo,rank_change_label,pct_rank,pct_price,pct_rating,pct_num_ratings,is_new,is_removed,status
home-garden/3115626011,2025-09-17,38,1,B0C913XXP1,"Coffee Machine Cleaner Descaler Tablets - 24 Count, Compatible With Nespresso, Keurig, Ninja, Delonghi, Miele, Coffee Maker P",15.95,4.4,9559,https://www.amazon.com/dp/B0C913XXP1,"https://images-na.ssl-images-amazon.com/images/I/81hAIy3ap0L._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,2,B01M7WZFAS,"Descaler (2 Pack, 2 Uses Per Bottle) - Made in the USA - Universal Descaling Solution for Keurig, Nespresso, Delonghi and All",13.29,4.4,81157,https://www.amazon.com/dp/B01M7WZFAS,"https://images-na.ssl-images-amazon.com/images/I/71WqMcwjoHL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,3,B07V3946XL,"Keurig 3-Month Brewer Maintenance Kit Includes Descaling Solution, Water Filter Cartridges & Rinse Pods, Compatible Classic/1",14.98,4.5,35210,https://www.amazon.com/dp/B07V3946XL,"https://images-na.ssl-images-amazon.com/images/I/71soCLQA9rL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,4,B074CK3QSH,"Quick & Clean [6-Pack] Keurig Cleaning Pods - K Cup Cleaner Pod For Keurig - 2.0 Coffee Machine Compatible, Removes Stains, N",9.99,4.5,60573,https://www.amazon.com/dp/B074CK3QSH,"https://images-na.ssl-images-amazon.com/images/I/81unHNQy5aL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,5,B01IX0ZS9G,Essential Values Universal Descaling Solution for Keurig Breville Nespresso & Delonghi (4 Uses) | Coffee Machine Descaler Cle,12.99,4.4,35644,https://www.amazon.com/dp/B01IX0ZS9G,"https://images-na.ssl-images-amazon.com/images/I/71neIZGn47L._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,6,B00494MU9M,"Breville BEC2500 Espresso Cleaning Tablets, 8 Pack",14.8,4.8,5250,https://www.amazon.com/dp/B00494MU9M,"https://images-na.ssl-images-amazon.com/images/I/51yBOFWEU-L._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,7,B008YETL18,"De'Longhi EcoDecalk Descaler, Eco-Friendly Universal Descaling Solution for Coffee & Espresso Machines, 16.90 oz (5 uses)",19.45,4.8,117717,https://www.amazon.com/dp/B008YETL18,"https://images-na.ssl-images-amazon.com/images/I/819FPWA32UL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,8,B0DBR7GZ7M,"Effective Keurig Descaling Solution (2 Uses) – Universal Coffee Machine Descaler for Keurig, Nespresso, Breville, Delonghi",9.97,4.3,1473,https://www.amazon.com/dp/B0DBR7GZ7M,"https://images-na.ssl-images-amazon.com/images/I/61qrylsd1xL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,9,B079DDC829,Breville Espresso Machine Descaler (4 pack) BES007,14.95,4.8,1852,https://www.amazon.com/dp/B079DDC829,"https://images-na.ssl-images-amazon.com/images/I/61X3cmuuXPL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,10,B005W3BR2A,"Nespresso Descaling Solution, Fits all Models, 2 Packets",12.61,4.6,8943,https://www.amazon.com/dp/B005W3BR2A,"https://images-na.ssl-images-amazon.com/images/I/61dxH7RrbZL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,11,B06X16S1HZ,"Affresh Coffee Maker Cleaner, Works with Multi-cup and Single-serve Brewers, 3 Tablets",8.78,4.5,16144,https://www.amazon.com/dp/B06X16S1HZ,"https://images-na.ssl-images-amazon.com/images/I/71Ff+DZyiGL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,12,B0BL3CWYJC,"3 in 1 Cup Lid Gap Cleaning Brush Set, Multifunctional Insulation Bottle Cleaning Tools, Mutipurpose Tiny Silicone Cup Holder",11.98,4.3,3825,https://www.amazon.com/dp/B0BL3CWYJC,"https://images-na.ssl-images-amazon.com/images/I/71phifcFHLL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,13,B0BRSYDG45,"Nespresso Compatible Vertuo Cleaning & Descaling Kit. Includes 1 Bottle of Descaling Solution, 6 Cleaning Tablets and 1 Reusa",29.99,4.5,1295,https://www.amazon.com/dp/B0BRSYDG45,"https://images-na.ssl-images-amazon.com/images/I/81FanIFe6PL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,14,B07TSQWS3F,"Keurig Brewer Cleanse Kit For Maintenance Includes Descaling Solution & Rinse Pods, Compatible with Keurig Classic/1.0 & 2.0 ",14.99,4.4,9392,https://www.amazon.com/dp/B07TSQWS3F,"https://images-na.ssl-images-amazon.com/images/I/71shQYA8QuL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,15,B003PSJ7F8,"Descaling Powder Solution - 4 Uses - Activated Scale Remover for use with Keurig 1.0/2.0, Home Coffee and Espresso Machines, ",9.49,4.6,9283,https://www.amazon.com/dp/B003PSJ7F8,"https://images-na.ssl-images-amazon.com/images/I/51Xi5DTqxdL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,16,B000BJSF6Q,"Jura 64308 Cleaning Tablets for all Jura Automatic Coffee Centers, 6-Count",15.81,4.8,4041,https://www.amazon.com/dp/B000BJSF6Q,"https://images-na.ssl-images-amazon.com/images/I/61Y7qoSXmEL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,17,B0021IOTTW,"De'Longhi EcoDecalk Descaler, Eco-Friendly Universal Descaling Solution for Coffee & Espresso Machines, 2-Pack (1 use per pac",14.4,4.5,29812,https://www.amazon.com/dp/B0021IOTTW,"https://images-na.ssl-images-amazon.com/images/I/81TjbO3NtNL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,18,B0BRT3WMR1,Breville Compatible Descaling Solution. Specially Formulated to Clean & Descale your Breville Espresso Machine. 2 Uses per Bo,29.99,4.6,1243,https://www.amazon.com/dp/B0BRT3WMR1,"https://images-na.ssl-images-amazon.com/images/I/81eKdDoukoL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,19,B00KQYJWQS,Urnex Cafiza Professional Espresso Machine Cleaning Powder 566 Grams - 3 Pack,44.99,4.8,469,https://www.amazon.com/dp/B00KQYJWQS,"https://images-na.ssl-images-amazon.com/images/I/717c-KpEtSL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,20,B0722YL4S5,CleanEspresso - Designed For Breville Cleaning Kit - 40 Cleaning Tablets and 6 Water Filters for Breville Espresso Machines -,19.99,4.7,7693,https://www.amazon.com/dp/B0722YL4S5,"https://images-na.ssl-images-amazon.com/images/I/714dk7Ov3gL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,21,B0C8ZSWK4B,"ACTIVE Espresso Machine Cleaning Tablets Descaling - 120 Tabs | Compatible with Breville Barista Express, Gaggia, Delonghi, J",14.95,4.7,1284,https://www.amazon.com/dp/B0C8ZSWK4B,"https://images-na.ssl-images-amazon.com/images/I/81h7XZObUmL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,22,B000FDDU8G,Urnex Coffee Maker and Espresso Machine Cleaner Cleancaf Powder - 3 Packets - Safe On Keurig Delonghi Nespresso Ninja Hamilto,7.99,4.6,4428,https://www.amazon.com/dp/B000FDDU8G,"https://images-na.ssl-images-amazon.com/images/I/81AvPzybvYL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,23,B003S4918M,Urnex Cafiza Espresso Machine Cleaning Tablets - 100 Count - Professional Espresso Machine Cleaner Barista Use,18.98,4.8,4000,https://www.amazon.com/dp/B003S4918M,"https://images-na.ssl-images-amazon.com/images/I/61+a23-fcgL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,24,B0014J7FUY,Urnex Grindz Professional Coffee Grinder Cleaning Tablets - 430 Grams - All Natural Food Safe Gluten Free - Cleans Burr and C,19.99,4.7,5215,https://www.amazon.com/dp/B0014J7FUY,"https://images-na.ssl-images-amazon.com/images/I/61-DwwDsqOL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,25,B0D1D5JCT8,"Nespresso Descaling Kit Solution, Fits all Models, 2 Packets, Descaling Solution for All Models, Includes Cleaning Cloth, Cle",14.25,4.7,456,https://www.amazon.com/dp/B0D1D5JCT8,"https://images-na.ssl-images-amazon.com/images/I/61dN8yjZeLL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,26,B074KQFRNV,"Philips CA6700/22 Universal Liquid Descaler, Saeco and Other Fully Automatic Coffee Machines Value Pack 2 x 250 ml",18.28,4.8,20324,https://www.amazon.com/dp/B074KQFRNV,"https://images-na.ssl-images-amazon.com/images/I/51GLx0UOa6L._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,27,B00008WUAR,Jura 66281 Decalcifying/Descaling Tablets (9 tablets) 3 Count (Pack of 3),21.56,4.8,5695,https://www.amazon.com/dp/B00008WUAR,"https://images-na.ssl-images-amazon.com/images/I/4144KNOF0wL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,28,B0DHZSG5L1,"Coffee Machine Cleaner Descaler Tablets 34 Pack, Coffee Maker Cleaner for Keurig, Ninja, Breville, Delonghi, Nespresso, Miele",9.99,4.4,597,https://www.amazon.com/dp/B0DHZSG5L1,"https://images-na.ssl-images-amazon.com/images/I/71JajPdJYuL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,29,B0DCGRQTMQ,"Whirl Fresh Coffee Machine Descaler Tablets – 24 Count, Coffee Maker Cleaner Tablets Compatible with All Major Brands Includi",9.99,4.4,473,https://www.amazon.com/dp/B0DCGRQTMQ,"https://images-na.ssl-images-amazon.com/images/I/81JW82YjmqL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,30,B09DGLYY4B,"Jura Milk System Cleaner Mini-Tabs w/Dispenser (180 g bottle) , white",31.89,4.8,756,https://www.amazon.com/dp/B09DGLYY4B,"https://images-na.ssl-images-amazon.com/images/I/61ML2bcxSVL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
home-garden/3115626011,2025-09-17,38,31,B000FDL68W,Urnex - Rinza Alkaline Formula Milk Frother Cleaner - 33.6 Ounce,15.1,4.8,1150,https://www.amazon.com/dp/B000FDL68W,"https://images-na.ssl-images-amazon.com/images/I/61KuE+V1rRL._AC_UL900_SR900,600_.jpg",,,,,,True,False,new
